1 28:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 42:1 5:1 2:1 2:1 5:1 7:1 1:1 1:1 4:1 5:1 1:1
1 28:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 42:1 6:1 6:1 3:1 6:1 4:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 30:1 6:1 6:1
1 28:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 42:1 7:1 1:1 4:1
1 42:1
1 31:1
1 28:1
1 42:1
1 28:1
1 30:1 6:1 6:1 4:1 3:1 4:1 3:1
1 42:1 5:1 2:1 2:1 5:1 7:1 1:1 1:1 4:1 5:1 1:1
1 28:1
1 54:1
1 54:1 1:1
1 54:1
1 54:1 1:1
1 54:1 1:1
1 54:1
1 2:1 2:1 4:1 4:1 2:1 6:1 6:1
1 54:1
1 19:1
1 28:1
1 28:1
1 28:1
1 107:1 19:1
1 19:1 4:1
1 19:1
1 28:1
1 28:1
1 28:1
1 28:1
1 28:1
1 28:1
1 19:1
1 28:1
1 28:1
1 28:1
1 19:1
1 19:1
1 28:1
1 28:1
1 28:1
1 28:1
1 19:1
-1 30:1 6:1 3:1 2:1 4:1
-1 30:1 6:1 3:1 2:1 4:1
-1 19:1
-1 19:1
-1 19:1
-1 19:1 2:1 3:1
-1 19:1 2:1 4:1
-1 33:1 4:1
-1 33:1 4:1
-1 28:1 1:1 1:1
-1 42:1 5:1 2:1 2:1 5:1 7:1 1:1 1:1 4:1 5:1 1:1
